,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
4768,613050,267050,613000,267000,22,61302670,4.0,4.223011201397147,4.223011201397147,0.2
4769,613050,267350,613078,267334,22,61302673,4.0,4.446022402794293,4.446022402794293,0.4
4779,613150,266050,613174,266034,22,61312660,4.0,4.446022402794293,4.446022402794293,0.4
4782,613150,267350,613156,267310,22,61312673,4.0,4.446022402794293,4.446022402794293,0.4
4788,613250,266550,613266,266510,22,61322665,8.0,8.446022402794293,8.446022402794293,0.4
4790,613250,267250,613209,267226,22,61322672,4.0,4.446022402794293,4.446022402794293,0.4
4798,613350,265550,613379,265519,22,61332655,4.0,4.446022402794293,4.446022402794293,0.4
4801,613350,266150,613313,266140,22,61332661,4.0,4.446022402794293,4.446022402794293,0.4
4804,613350,268850,613384,268890,22,61332688,4.0,4.446022402794293,4.446022402794293,0.4
4810,613450,265850,613476,265832,22,61342658,4.0,4.446022402794293,4.446022402794293,0.4
4813,613450,267350,613470,267330,22,61342673,4.0,4.446022402794293,4.446022402794293,0.4
4815,613450,267450,613470,267400,22,61342674,4.0,4.446022402794293,4.446022402794293,0.4
4826,613750,174650,613727,174623,22,61371746,4.0,4.536361231394717,4.536361231394717,0.4
4845,614050,268250,614060,268276,22,61402682,4.0,4.446022402794293,4.446022402794293,0.4
4847,614150,191850,614150,191830,22,61411918,4.0,4.6958414404907165,4.6958414404907165,0.4
4879,614950,108750,614956,108776,22,61491087,6.0,6.733781653775761,6.733781653775761,0.6000000000000001
4888,614950,268350,614900,268383,22,61492683,4.0,4.446022402794293,4.446022402794293,0.4
4894,615050,269050,615003,269048,22,61502690,8.0,8.892044805588586,8.892044805588586,0.8
4902,615150,266150,615190,266130,22,61512661,4.0,4.223011201397147,4.223011201397147,0.2
4908,615450,129150,615495,129128,22,61541291,4.0,4.484662833483702,4.484662833483702,0.4
4910,615450,129750,615433,129789,22,61541297,4.0,4.484662833483702,4.484662833483702,0.4
4914,615450,266950,615400,266900,22,61542669,6.0,6.446022402794293,6.446022402794293,0.4
4916,615450,268350,615468,268347,22,61542683,4.0,4.446022402794293,4.446022402794293,0.4
4924,615750,128950,615750,128960,22,61571289,4.0,4.484662833483702,4.484662833483702,0.4
4932,616050,270350,616050,270311,22,61602703,4.0,4.446022402794293,4.446022402794293,0.4
4942,616850,269050,616858,269055,22,61682690,9.0,9.892044805588586,9.892044805588586,0.8
4996,619450,241150,619480,241150,22,61942411,4.0,4.223300286479453,4.223300286479453,0.2
5000,619750,129850,619750,129850,22,61971298,9.0,9.954171519991018,9.954171519991018,0.8
5009,620050,128650,620042,128678,22,62001286,4.0,4.5844233735077395,4.5844233735077395,0.4
5011,620050,128750,620000,128700,22,62001287,4.0,4.4266085643921995,4.4266085643921995,0.4
5016,620150,128650,620160,128692,22,62011286,6.0,6.876635060261609,6.876635060261609,0.6000000000000001
5019,620250,128450,620201,128479,22,62021284,4.0,4.5844233735077395,4.5844233735077395,0.4
5033,620950,130650,620900,130650,22,62091306,11.0,12.0665214109805,12.0665214109805,1.0
5044,621450,262850,621470,262830,22,62142628,4.0,4.2489734134648165,4.2489734134648165,0.2
5045,621450,263250,621440,263200,22,62142632,4.0,4.497946826929633,4.497946826929633,0.4
5052,621750,196450,621793,196486,22,62171964,4.0,4.654786684697744,4.654786684697744,0.4
5070,623250,128350,623235,128381,22,62321283,4.0,4.4266085643921995,4.4266085643921995,0.4
5073,623350,128250,623353,128292,22,62331282,6.0,6.4266085643922,6.4266085643922,0.4
5086,623850,96550,623818,96593,22,62380965,5.0,5.448881971940585,5.448881971940585,0.4
5092,624150,129650,624128,129601,22,62411296,4.0,4.3887736010716,4.3887736010716,0.4
5099,624250,257750,624280,257780,22,62422577,4.0,4.451903186074466,4.451903186074466,0.4
5103,624350,239550,624330,239550,22,62432395,5.0,5.504288992941202,5.504288992941202,0.4
5117,624950,130050,624947,130014,22,62491300,6.0,6.3887736010716,6.3887736010716,0.4
